seed,kA,k,nA,nB,tA,tB,hint_conflicts
6000,4,4,2991,2752,0.025,0.025,39
6001,4,4,2997,2462,0.026,0.025,43
6002,4,4,2831,2278,0.025,0.029,44
6003,4,4,2885,2430,0.035,0.031,44
6004,4,4,3291,2363,0.025,0.026,40
6005,4,4,3274,2595,0.025,0.024,37
6006,4,4,2441,2096,0.025,0.024,54
6007,4,4,2829,2255,0.024,0.025,39
6008,4,4,3184,2658,0.024,0.024,48
6009,4,4,2463,2269,0.024,0.036,41
6010,4,4,2419,2105,0.036,0.025,37
6011,4,4,3012,2644,0.025,0.025,51
6012,4,4,3039,2418,0.025,0.028,42
6013,4,4,2328,2087,0.028,0.026,45
6014,4,4,3094,2638,0.025,0.024,45
6015,4,4,2561,2325,0.025,0.023,46
6016,4,4,3013,2315,0.024,0.025,59
6017,4,4,2623,2227,0.024,0.025,46
6018,4,4,2664,2262,0.025,0.025,46
6019,4,4,2798,2349,0.036,0.039,48
6020,4,4,2464,2108,0.034,0.042,40
6021,4,4,2595,2140,0.029,0.025,34
6022,4,4,2743,2371,0.025,0.026,49
6023,4,4,2600,2241,0.025,0.026,44
6024,4,4,2904,2348,0.026,0.026,39
