game,paradigm,instance_id,difficulty,seed,success,time_seconds,nodes_explored,solution_quality
wordle,bayesian_elimination,len5_0,5,0,True,0.003119805000096676,2046,4.0
wordle,bayesian_elimination,len5_0,5,1,True,0.003191816998878494,2152,3.0
wordle,bayesian_elimination,len5_0,5,2,True,0.002319187000466627,2124,4.0
wordle,bayesian_elimination,len5_0,5,3,True,0.002046564999545808,2118,3.0
wordle,bayesian_elimination,len5_0,5,4,True,0.0015894589996605646,2023,3.0
wordle,entropy,len5_0,5,0,True,2.8173447099998157,2031,3.0
wordle,entropy,len5_0,5,1,True,2.8002058750007564,2031,3.0
wordle,entropy,len5_0,5,2,True,3.0724951650008734,2031,3.0
wordle,entropy,len5_0,5,3,True,3.0709970869993413,2031,3.0
wordle,entropy,len5_0,5,4,True,3.0080064390003827,2031,3.0
wordle,csp,len5_0,5,0,True,0.0921943140001531,0,3.0
wordle,csp,len5_0,5,1,True,0.06635499500043807,0,4.0
wordle,csp,len5_0,5,2,True,0.057714964999831864,0,4.0
wordle,csp,len5_0,5,3,True,0.04988982299983036,0,3.0
wordle,csp,len5_0,5,4,True,0.054881432000911445,0,4.0
wordle,bayesian_elimination,len5_1,5,0,True,0.0016670479999447707,2554,3.0
wordle,bayesian_elimination,len5_1,5,1,True,0.0013785339997411938,2007,4.0
wordle,bayesian_elimination,len5_1,5,2,True,0.0020087779994355515,2928,4.0
wordle,bayesian_elimination,len5_1,5,3,True,0.0014827029990556184,2134,4.0
wordle,bayesian_elimination,len5_1,5,4,True,0.0016054919997259276,2303,5.0
wordle,entropy,len5_1,5,0,True,3.4786582039996574,2038,3.0
wordle,entropy,len5_1,5,1,True,2.9153791190001357,2038,3.0
wordle,entropy,len5_1,5,2,True,2.8646988359996612,2038,3.0
wordle,entropy,len5_1,5,3,True,2.8639113459994405,2038,3.0
wordle,entropy,len5_1,5,4,True,2.88089990500157,2038,3.0
wordle,csp,len5_1,5,0,True,0.09549295699980576,0,5.0
wordle,csp,len5_1,5,1,True,0.06224299099994823,0,5.0
wordle,csp,len5_1,5,2,True,0.08631149400025606,0,3.0
wordle,csp,len5_1,5,3,True,0.09205445399857126,0,5.0
wordle,csp,len5_1,5,4,True,0.07581652899898472,0,6.0
wordle,bayesian_elimination,len5_2,5,0,True,0.0018623730011313455,2583,4.0
wordle,bayesian_elimination,len5_2,5,1,True,0.0018254739989060909,2507,5.0
wordle,bayesian_elimination,len5_2,5,2,True,0.001366553000480053,2010,3.0
wordle,bayesian_elimination,len5_2,5,3,True,0.0013737230001424905,2029,3.0
wordle,bayesian_elimination,len5_2,5,4,True,0.0014016619988979073,2120,3.0
wordle,entropy,len5_2,5,0,True,2.9495608689994697,2135,4.0
wordle,entropy,len5_2,5,1,True,2.8859785240001656,2135,4.0
wordle,entropy,len5_2,5,2,True,2.9246865669992985,2135,4.0
wordle,entropy,len5_2,5,3,True,2.8241399280013866,2135,4.0
wordle,entropy,len5_2,5,4,True,2.863880701999733,2135,4.0
wordle,csp,len5_2,5,0,True,0.056498694999390864,0,4.0
wordle,csp,len5_2,5,1,True,0.05325501500010432,0,4.0
wordle,csp,len5_2,5,2,True,0.05729409099876648,0,5.0
wordle,csp,len5_2,5,3,True,0.05696299199917121,0,4.0
wordle,csp,len5_2,5,4,True,0.08901789599985932,0,4.0
